frequency_mhz,level_dbm,buffer_voltage_mv,resistance,pwr_pw,efficiency
850.0,-3.5,1618.0,25835.0,101332000,22.685
850.0,-3.0,1612.0,24085.0,107890000,21.527
850.0,-2.5,1616.0,22328.0,116958000,20.798
850.0,-2.0,1611.0,20917.0,124385000,19.714
850.0,-1.5,1614.0,19149.0,136038000,19.216
850.0,-1.0,1610.0,18083.0,143344000,18.046
850.0,-0.5,1595.0,16661.0,152693000,17.132
850.0,0.0,1596.0,15592.0,163366000,16.337
862.0,-20.0,776.0,1000000.0,597000,5.97
862.0,-19.5,902.0,1000000.0,820000,7.308
862.0,-19.0,1029.0,1000000.0,1058000,8.404
862.0,-18.5,1159.0,1000000.0,1340000,9.486
862.0,-18.0,1293.0,1000000.0,1664000,10.499
862.0,-17.5,1422.0,1000000.0,2010000,11.303
862.0,-17.0,1546.0,1000000.0,2390000,11.978
862.0,-16.5,1642.0,921875.0,2924000,13.061
862.0,-16.0,1641.0,648437.0,4152000,16.529
862.0,-15.5,1635.0,496093.0,5388000,19.117
862.0,-15.0,1626.0,394531.0,6701000,21.19
862.0,-14.5,1637.0,320312.0,8366000,23.579
862.0,-14.0,1618.0,261718.0,10002000,25.124
862.0,-13.5,1623.0,218750.0,12041000,26.956
862.0,-13.0,1610.0,187500.0,14118000,28.169
862.0,-12.5,1603.0,160156.0,16044000,28.531
862.0,-12.0,1609.0,140625.0,18777000,29.76
862.0,-11.5,1589.0,121093.0,20851000,29.453
862.0,-11.0,1603.0,109375.0,24083000,30.319
862.0,-10.5,1627.0,97656.0,27173000,30.489
862.0,-10.0,1608.0,85865.0,30338000,30.338
862.0,-9.5,1608.0,78104.0,33023000,29.432
862.0,-9.0,1611.0,70530.0,36797000,29.229
862.0,-8.5,1614.0,63475.0,41039000,29.053
862.0,-8.0,1624.0,57623.0,45769000,28.878
862.0,-7.5,1624.0,52691.0,50053000,28.147
862.0,-7.0,1627.0,48040.0,55102000,27.616
862.0,-6.5,1642.0,44017.0,61252000,27.36
862.0,-6.0,1615.0,40299.0,64721000,25.766
862.0,-5.5,1606.0,36895.0,69907000,24.804
862.0,-5.0,1612.0,34154.0,76083000,24.06
862.0,-4.5,1595.0,31051.0,83790000,23.615
862.0,-4.0,1625.0,28972.0,89246000,22.418
862.0,-3.5,1614.0,26883.0,96901000,21.693
862.0,-3.0,1634.0,24786.0,107720000,21.493
862.0,-2.5,1635.0,23032.0,116065000,20.64
862.0,-2.0,1598.0,21270.0,120056000,19.028
862.0,-1.5,1601.0,19856.0,129089000,18.234
862.0,-1.0,1572.0,18083.0,136657000,17.204
862.0,-0.5,1585.0,17017.0,147257000,16.523
862.0,0.0,1600.0,15948.0,157724000,15.772
875.0,-20.0,868.0,1000000.0,753000,7.53
