harvester,target_voltage_mv,level_dbm,efficiency
sSUHFIPTIVA0,250.0,-29.5,0.23
sSUHFIPTIVA0,250.0,-29.0,0.22
sSUHFIPTIVA0,250.0,-28.5,0.24
sSUHFIPTIVA0,250.0,-28.0,0.27
sSUHFIPTIVA0,250.0,-27.5,0.34
sSUHFIPTIVA0,250.0,-27.0,0.28
sSUHFIPTIVA0,250.0,-26.5,0.32
sSUHFIPTIVA0,250.0,-26.0,0.46
sSUHFIPTIVA0,250.0,-25.5,0.67
sSUHFIPTIVA0,250.0,-25.0,1.0
sSUHFIPTIVA0,250.0,-24.5,1.48
sSUHFIPTIVA0,250.0,-24.0,2.08
sSUHFIPTIVA0,250.0,-23.5,2.59
sSUHFIPTIVA0,250.0,-23.0,3.21
sSUHFIPTIVA0,250.0,-22.5,4.01
sSUHFIPTIVA0,250.0,-22.0,4.69
sSUHFIPTIVA0,250.0,-21.5,5.46
sSUHFIPTIVA0,250.0,-21.0,6.15
sSUHFIPTIVA0,250.0,-20.5,6.94
sSUHFIPTIVA0,250.0,-20.0,7.6
sSUHFIPTIVA0,250.0,-19.5,8.35
sSUHFIPTIVA0,250.0,-19.0,9.25
sSUHFIPTIVA0,250.0,-18.5,9.73
sSUHFIPTIVA0,250.0,-18.0,10.07
sSUHFIPTIVA0,250.0,-17.5,10.44
sSUHFIPTIVA0,250.0,-17.0,10.69
sSUHFIPTIVA0,250.0,-16.5,10.96
sSUHFIPTIVA0,250.0,-16.0,11.05
sSUHFIPTIVA0,250.0,-15.5,11.06
sSUHFIPTIVA0,250.0,-15.0,11.11
sSUHFIPTIVA0,250.0,-14.5,10.86
sSUHFIPTIVA0,250.0,-14.0,10.68
sSUHFIPTIVA0,250.0,-13.5,10.61
sSUHFIPTIVA0,250.0,-13.0,10.56
sSUHFIPTIVA0,250.0,-12.5,10.38
sSUHFIPTIVA0,250.0,-12.0,9.89
sSUHFIPTIVA0,250.0,-11.5,9.91
sSUHFIPTIVA0,250.0,-11.0,9.54
sSUHFIPTIVA0,250.0,-10.5,8.84
sSUHFIPTIVA0,250.0,-10.0,8.62
sSUHFIPTIVA0,250.0,-9.5,8.34
sSUHFIPTIVA0,250.0,-9.0,7.96
sSUHFIPTIVA0,250.0,-8.5,7.92
sSUHFIPTIVA0,250.0,-8.0,7.41
sSUHFIPTIVA0,250.0,-7.5,7.23
sSUHFIPTIVA0,250.0,-7.0,6.98
sSUHFIPTIVA0,250.0,-6.5,6.72
sSUHFIPTIVA0,250.0,-6.0,6.45
sSUHFIPTIVA0,250.0,-5.5,6.14
sSUHFIPTIVA0,250.0,-5.0,5.4
sSUHFIPTIVA0,250.0,-4.5,5.44
sSUHFIPTIVA0,250.0,-4.0,4.58
sSUHFIPTIVA0,250.0,-3.5,4.65
sSUHFIPTIVA0,250.0,-3.0,4.69
sSUHFIPTIVA0,250.0,-2.5,4.24
sSUHFIPTIVA0,250.0,-2.0,4.26
sSUHFIPTIVA0,250.0,-1.5,3.8
sSUHFIPTIVA0,250.0,-1.0,3.8
sSUHFIPTIVA0,250.0,-0.5,3.33
sSUHFIPTIVA0,250.0,0.0,3.34
sSUHFIPTIVA0,500.0,-30.0,0.23
sSUHFIPTIVA0,500.0,-29.5,0.22
sSUHFIPTIVA0,500.0,-29.0,0.22
sSUHFIPTIVA0,500.0,-28.5,0.24
sSUHFIPTIVA0,500.0,-28.0,0.28
sSUHFIPTIVA0,500.0,-27.5,0.33
sSUHFIPTIVA0,500.0,-27.0,0.28
sSUHFIPTIVA0,500.0,-26.5,0.36
sSUHFIPTIVA0,500.0,-26.0,0.46
sSUHFIPTIVA0,500.0,-25.5,0.68
sSUHFIPTIVA0,500.0,-25.0,0.95
sSUHFIPTIVA0,500.0,-24.5,1.4
sSUHFIPTIVA0,500.0,-24.0,2.05
sSUHFIPTIVA0,500.0,-23.5,2.74
sSUHFIPTIVA0,500.0,-23.0,3.67
sSUHFIPTIVA0,500.0,-22.5,4.81
sSUHFIPTIVA0,500.0,-22.0,6.08
sSUHFIPTIVA0,500.0,-21.5,7.4
sSUHFIPTIVA0,500.0,-21.0,8.78
sSUHFIPTIVA0,500.0,-20.5,10.05
sSUHFIPTIVA0,500.0,-20.0,11.33
sSUHFIPTIVA0,500.0,-19.5,12.51
sSUHFIPTIVA0,500.0,-19.0,13.56
sSUHFIPTIVA0,500.0,-18.5,14.28
sSUHFIPTIVA0,500.0,-18.0,15.23
sSUHFIPTIVA0,500.0,-17.5,16.01
sSUHFIPTIVA0,500.0,-17.0,17.55
sSUHFIPTIVA0,500.0,-16.5,17.9
sSUHFIPTIVA0,500.0,-16.0,18.19
sSUHFIPTIVA0,500.0,-15.5,18.46
sSUHFIPTIVA0,500.0,-15.0,18.52
sSUHFIPTIVA0,500.0,-14.5,18.56
sSUHFIPTIVA0,500.0,-14.0,18.44
sSUHFIPTIVA0,500.0,-13.5,18.19
sSUHFIPTIVA0,500.0,-13.0,18.01
sSUHFIPTIVA0,500.0,-12.5,17.7
sSUHFIPTIVA0,500.0,-12.0,17.47
sSUHFIPTIVA0,500.0,-11.5,16.96
sSUHFIPTIVA0,500.0,-11.0,16.5
sSUHFIPTIVA0,500.0,-10.5,16.1
sSUHFIPTIVA0,500.0,-10.0,15.61
sSUHFIPTIVA0,500.0,-9.5,15.12
sSUHFIPTIVA0,500.0,-9.0,14.6
sSUHFIPTIVA0,500.0,-8.5,14.17
sSUHFIPTIVA0,500.0,-8.0,13.35
sSUHFIPTIVA0,500.0,-7.5,12.76
sSUHFIPTIVA0,500.0,-7.0,12.37
sSUHFIPTIVA0,500.0,-6.5,11.95
sSUHFIPTIVA0,500.0,-6.0,11.46
sSUHFIPTIVA0,500.0,-5.5,10.94
sSUHFIPTIVA0,500.0,-5.0,10.39
sSUHFIPTIVA0,500.0,-4.5,10.11
sSUHFIPTIVA0,500.0,-4.0,9.43
sSUHFIPTIVA0,500.0,-3.5,9.11
sSUHFIPTIVA0,500.0,-3.0,8.33
sSUHFIPTIVA0,500.0,-2.5,7.91
sSUHFIPTIVA0,500.0,-2.0,7.54
sSUHFIPTIVA0,500.0,-1.5,7.11
sSUHFIPTIVA0,500.0,-1.0,7.14
sSUHFIPTIVA0,500.0,-0.5,6.24
sSUHFIPTIVA0,500.0,0.0,6.25
sSUHFIPTIVA0,750.0,-30.0,0.23
sSUHFIPTIVA0,750.0,-29.5,0.23
sSUHFIPTIVA0,750.0,-29.0,0.22
sSUHFIPTIVA0,750.0,-28.5,0.24
sSUHFIPTIVA0,750.0,-28.0,0.27
sSUHFIPTIVA0,750.0,-27.5,0.33
sSUHFIPTIVA0,750.0,-27.0,0.27
sSUHFIPTIVA0,750.0,-26.5,0.34
sSUHFIPTIVA0,750.0,-26.0,0.45
sSUHFIPTIVA0,750.0,-25.5,0.65
sSUHFIPTIVA0,750.0,-25.0,0.98
sSUHFIPTIVA0,750.0,-24.5,1.42
sSUHFIPTIVA0,750.0,-24.0,1.98
sSUHFIPTIVA0,750.0,-23.5,2.76
sSUHFIPTIVA0,750.0,-23.0,3.71
sSUHFIPTIVA0,750.0,-22.5,4.85
